x Q2 F2 STAT+SYST
8.0000e-04 1.0000e+01 9.8500e-01 -8.8470e-04
1.3000e-03 1.0000e+01 8.9900e-01 -2.6940e-04
2.0000e-03 1.0000e+01 8.0900e-01 3.1551e-03
5.0000e-03 1.0000e+01 6.3300e-01 2.9751e-03
2.0000e-02 1.0000e+01 5.1600e-01 2.6316e-03
2.0000e-04 1.2000e+01 1.4140e+00 1.5768e-03
3.2000e-04 1.2000e+01 1.2620e+00 3.3291e-03
3.2000e-04 1.2000e+01 1.2620e+00 1.6029e-03
5.0000e-04 1.2000e+01 1.1630e+00 1.0377e-03
8.0000e-04 1.2000e+01 1.0590e+00 1.3728e-03
1.3000e-03 1.2000e+01 9.4200e-01 1.6938e-03
2.0000e-03 1.2000e+01 8.5700e-01 1.2840e-03
3.2000e-03 1.2000e+01 7.5800e-01 2.0439e-03
5.0000e-03 1.2000e+01 6.8200e-01 8.8660e-04
2.0000e-02 1.2000e+01 4.9200e-01 2.2632e-03
3.2000e-04 1.5000e+01 1.3550e+00 1.4300e-03
3.2000e-04 1.5000e+01 1.3800e+00 1.5888e-03
5.0000e-04 1.5000e+01 1.2350e+00 1.3387e-03
8.0000e-04 1.5000e+01 1.1210e+00 5.5750e-04
1.3000e-03 1.5000e+01 9.9000e-01 1.0868e-03
2.0000e-03 1.5000e+01 8.7600e-01 2.1000e-03
3.2000e-03 1.5000e+01 7.8900e-01 1.7358e-03
5.0000e-03 1.5000e+01 7.1800e-01 2.0822e-03
8.0000e-03 1.5000e+01 6.3600e-01 1.3992e-03
2.0000e-02 1.5000e+01 5.3200e-01 1.3300e-03
5.0000e-04 1.8000e+01 1.3050e+00 2.4244e-03
5.0000e-04 1.8000e+01 1.3060e+00 1.7878e-03
8.0000e-04 1.8000e+01 1.1770e+00 1.1680e-03
1.3000e-03 1.8000e+01 1.0540e+00 7.3640e-04
2.0000e-03 1.8000e+01 9.5100e-01 6.6500e-04
3.2000e-03 1.8000e+01 8.3700e-01 1.7556e-03
5.0000e-03 1.8000e+01 7.5000e-01 1.8000e-03
8.0000e-03 1.8000e+01 6.6800e-01 1.6032e-03
2.0000e-02 1.8000e+01 5.3900e-01 1.7248e-03
5.0000e-04 2.2000e+01 1.3920e+00 6.1732e-03
8.0000e-04 2.2000e+01 1.2840e+00 5.0760e-04
1.3000e-03 2.2000e+01 1.0750e+00 -2.5704e-03
2.0000e-03 2.2000e+01 1.0210e+00 3.0570e-03
3.2000e-03 2.2000e+01 9.0600e-01 -1.8120e-03
5.0000e-03 2.2000e+01 7.7400e-01 3.0186e-03
8.0000e-03 2.2000e+01 6.6000e-01 3.7620e-03
1.3000e-02 2.2000e+01 5.9100e-01 8.2740e-04
3.2000e-02 2.2000e+01 5.2300e-01 4.6547e-03
5.0000e-04 2.7000e+01 1.5080e+00 3.9704e-03
5.0000e-04 2.7000e+01 1.5100e+00 2.1300e-03
8.0000e-04 2.7000e+01 1.3220e+00 3.8880e-03
8.0000e-04 2.7000e+01 1.3240e+00 1.6874e-03
1.3000e-03 2.7000e+01 1.1720e+00 1.0476e-03
2.0000e-03 2.7000e+01 1.0560e+00 8.4320e-04
3.2000e-03 2.7000e+01 9.2100e-01 1.9320e-03
5.0000e-03 2.7000e+01 8.0600e-01 1.6926e-03
8.0000e-03 2.7000e+01 7.1200e-01 1.6376e-03
1.3000e-02 2.7000e+01 6.3900e-01 1.6614e-03
2.0000e-02 2.7000e+01 5.8100e-01 1.5687e-03
3.2000e-02 2.7000e+01 5.2900e-01 1.5870e-03
